Marc Gasol,Tor,C,34.37,9.4,6.4,3,0.88,1.08,0.88
Danny Green,Tor,G-F,31.98,6.9,3.6,1.1,1.29,0.46,1.08
Serge Ibaka,Tor,F-C,29.74,9.4,6,0.9,0.46,0.96,1.04
Kawhi Leonard,Tor,F,27.96,30.5,9.1,3.9,1.67,0.71,3.08
Kyle Lowry,Tor,G,33.22,15,4.9,6.6,1.29,0.29,2.21
Pascal Siakam,Tor,F,25.2,19,7.1,2.8,1.04,0.71,1.38
Fred VanVleet,Tor,G,25.3,8,1.8,2.6,0.75,0.25,0.88
Norman Powell,Tor,F-G,26.06,6.5,2.2,1.1,0.39,0,0.52
Stephen Curry,Gol,G,31.25,28.2,6,5.7,1.09,0.18,3
Draymond Green,Gol,F,29.28,13.3,10.1,8.5,1.45,1.5,3.77
Shaun Livingston,Gol,G,33.76,4,1.4,1.4,0.45,0.18,0.36
Kevon Looney,Gol,F,23.35,7.1,4.5,1,0.57,0.52,0.62
Alfonzo McKinnie,Gol,F,26.74,3,2.3,0.2,0.09,0.05,0.27
Klay Thompson,Gol,G,29.35,20.7,4.1,2.1,1.33,0.71,1.81
Al-Farouq Aminu,Por,F,28.73,7.4,6.3,1.3,0.56,0.63,1
Zach Collins,Por,F-C,21.57,6.8,3.6,0.9,0.44,1.38,1.25
Seth Curry,Por,G,28.81,5.6,1.6,0.8,0.75,0.25,0.44
Maurice Harkless,Por,F,26.09,8.4,4.9,1.4,1.13,1,1.06
Rodney Hood,Por,G,26.65,9.9,2.3,0.9,0.38,0.19,0.44
Enes Kanter,Por,C,27.07,11.4,9.7,1.2,0.69,0.56,1.63
Damian Lillard,Por,G,28.92,26.9,4.8,6.6,1.69,0.31,3.75
CJ McCollum,Por,G,27.74,24.7,5,3.7,0.81,0.63,1.88
Evan Turner,Por,G-F,30.63,2.7,4.6,2.2,0.19,0.19,0.81
Andre Iguodala,Gol,G-F,35.38,9.8,4.3,4,1.14,1.1,1
Giannis Antetokounmpo,Mil,F,24.52,25.5,12.3,4.9,1.13,2,3.33
